country,cases,deaths,recovered,active,population,fetchedAt,death_rate,recovery_rate
Belgium,4861695,34376,4826798,521,11668278,2025-06-24 06:39:10.767,0.7070784983426562,99.28220507456761
Bermuda,18860,165,18685,10,61939,2025-06-24 06:39:10.767,0.8748674443266171,99.07211028632025
Australia,11853144,24414,11820014,8716,26068792,2025-06-24 06:39:10.767,0.20597066904780706,99.72049609791293
Aruba,44224,292,42438,1494,107609,2025-06-24 06:39:10.767,0.66027496382055,95.96146888567294
Solomon Islands,25954,199,0,25755,721159,2025-06-24 06:39:10.767,0.7667411574323804,0.0
Andorra,48015,165,0,47850,77463,2025-06-24 06:39:10.767,0.3436426116838488,0.0
Slovenia,1356546,7100,1349424,22,2078034,2025-06-24 06:39:10.767,0.5233880753030122,99.47499015882985
Serbia,2615054,18057,2596608,389,8653016,2025-06-24 06:39:10.767,0.6905019934578789,99.29462259670355
Singapore,3006155,2024,3004131,0,5943546,2025-06-24 06:39:10.767,0.06732853096397225,99.93267146903602
Saint Martin,12324,63,0,12261,39730,2025-06-24 06:39:10.767,0.5111976630963972,0.0
Saint Lucia,30215,410,29805,0,185113,2025-06-24 06:39:10.767,1.3569419162667549,98.64305808373325
Russia,24124215,402756,23545818,175641,145805947,2025-06-24 06:39:10.767,1.6695092462075969,97.60242146739283
San Marino,26185,128,26011,46,34085,2025-06-24 06:39:10.767,0.488829482528165,99.33549742218828
Panama,1059893,8727,1051102,64,4446964,2025-06-24 06:39:10.767,0.8233850020709638,99.17057665254889
Palestine,621008,5404,615445,159,5345541,2025-06-24 06:39:10.767,0.8701981294926957,99.10419833560921
Nigeria,267188,3155,259953,4080,216746934,2025-06-24 06:39:10.767,1.1808165037351976,97.2921688099765
Oman,399449,4628,0,394821,5323993,2025-06-24 06:39:10.767,1.1585959659430867,0.0
Namibia,172389,4106,167099,1184,2633874,2025-06-24 06:39:10.767,2.381822506076374,96.93135872938528
N. Korea,4772813,74,4772739,0,25990679,2025-06-24 06:39:10.767,0.0015504483414707426,99.99844955165852
Mongolia,1011496,2284,1009212,0,3378078,2025-06-24 06:39:10.767,0.22580415542918608,99.77419584457081
Poland,6661991,120598,0,6541393,37739785,2025-06-24 06:39:10.767,1.8102396115515618,0.0
Malta,121420,885,120149,386,444033,2025-06-24 06:39:10.767,0.7288749794103113,98.95322022731017
Mali,33164,743,32332,89,21473764,2025-06-24 06:39:10.767,2.2403811361717527,97.49125557833796
Macao,27673,123,3487,24063,667490,2025-06-24 06:39:10.767,0.44447656560546384,12.600729953384166
Malawi,89535,2686,0,86849,20180839,2025-06-24 06:39:10.767,2.9999441559166806,0.0
Lebanon,1243838,10952,1087587,145299,6684849,2025-06-24 06:39:10.767,0.8805005153404221,87.4379943368831
Latvia,982505,6715,971406,4384,1848837,2025-06-24 06:39:10.767,0.6834570816433504,98.87033653772754
Kazakhstan,1411831,13848,1383020,14963,19205043,2025-06-24 06:39:10.767,0.9808539407336997,97.95931666042182
Liechtenstein,21574,94,0,21480,38387,2025-06-24 06:39:10.767,0.4357096505052378,0.0
Iran,7627186,146811,0,7480375,86022837,2025-06-24 06:39:10.767,1.9248383348721272,0.0
Indonesia,6829221,162063,6647104,20054,279134505,2025-06-24 06:39:10.767,2.373081790734258,97.33326831859739
Holy See (Vatican City State),29,0,29,0,799,2025-06-24 06:39:10.767,0.0,100.0
Hungary,2230232,49048,2152155,29029,9606259,2025-06-24 06:39:10.767,2.1992330842710532,96.49915345130013
Greenland,11971,21,2761,9189,56973,2025-06-24 06:39:10.767,0.1754239411912121,23.06407150613984
Greece,6101379,37869,0,6063510,10316637,2025-06-24 06:39:10.767,0.6206629681585097,0.0
Gabon,49051,307,48674,70,2331533,2025-06-24 06:39:10.767,0.6258791869686653,99.2314122036248
Mexico,7702809,334958,6899865,467986,131562772,2025-06-24 06:39:10.767,4.348517534317676,89.57595858861357
Equatorial Guinea,17229,183,16907,139,1496662,2025-06-24 06:39:10.767,1.062162632770329,98.1310580997156
El Salvador,201855,4230,179410,18215,6550389,2025-06-24 06:39:10.767,2.0955636471724755,88.88063213692998
Diamond Princess,712,13,699,0,0,2025-06-24 06:39:10.767,1.8258426966292134,98.17415730337079
Dominican Republic,675890,4384,671316,190,11056370,2025-06-24 06:39:10.767,0.6486262557516755,99.3232626610839
Curaçao,45986,295,44720,971,165529,2025-06-24 06:39:10.767,0.6414995868307746,97.2469882138042
Cyprus,681110,1365,679745,0,1223387,2025-06-24 06:39:10.767,0.20040815727268724,99.79959184272731
Costa Rica,1238883,9428,0,1229455,5182354,2025-06-24 06:39:10.767,0.7610081016528599,0.0
Faroe Islands,34658,28,0,34630,49233,2025-06-24 06:39:10.767,0.08078942812626233,0.0
China,503302,5272,379053,118977,1448471400,2025-06-24 06:39:10.767,1.0474824260583109,75.31323141970428
Colombia,6400173,143200,6212152,44821,51512762,2025-06-24 06:39:10.767,2.2374395192129963,97.06225128601993
Chad,7701,194,4874,2633,17413580,2025-06-24 06:39:10.767,2.519153356706921,63.290481755616156
Comoros,9109,161,8939,9,907419,2025-06-24 06:39:10.767,1.7674827094082777,98.13371390932045
Canada,4946090,59034,4881312,5744,38388419,2025-06-24 06:39:10.767,1.1935488436320407,98.69031901967008
Caribbean Netherlands,11682,38,10476,1168,26647,2025-06-24 06:39:10.767,0.32528676596473205,89.6764252696456
Cabo Verde,64477,417,63755,305,567678,2025-06-24 06:39:10.767,0.6467422491741242,98.88022085394792
Fiji,69117,885,67226,1006,909466,2025-06-24 06:39:10.767,1.2804375189895394,97.26405949332292
Brazil,38743918,711380,36249161,1783377,215353593,2025-06-24 06:39:10.767,1.8361075408016299,93.56090677251588
